Buurten,Nederlandse herkomst,Jeugd 0-17 jaar,65 jaar en ouder %,eenoudergezinnen,Eenpersoonshuishoudens,Werk & inkomen 2024,Financiële kwetsbaarheid 2024,Zorggebruik en gezondheid 2024,Mentale gezondheid,Sociale binding 2024,Objectieve veiligheid 2024,Subjectieve veiligheid 2024,Overlast_straat,Bedreiging_geweld,Inbraak_woning,Meldingen_jeugd,Aantal woningen per ha,Percentage corporatie woningen,Percentage groen,haalt groenvoorziening binnen 10 minuten,Vervuiling,Ervaring vervuiling
Looiakkers,0.70,-1.70,0.05,,1.21,-0.97,-0.28,-1.13,0.12,0.34,2.26,-0.20,2.05,-0.19,3.34,-1.12,18.27,9,57.25,0.41,0.21,-0.06
Luytelaer,1.73,0.21,2.60,-0.61,-1.92,-1.20,-1.11,-0.27,-1.86,-1.89,-1.25,-1.17,-0.78,-0.97,-1.38,-0.80,6.94,0,60.82,0.66,-1.19,-0.02
Meerbos,,,,,,,,,,,,,,,,,0.02,0,83.23,,,
Meerrijk,-0.26,-0.93,0.49,-1.22,-0.83,-1.07,-0.11,-1.24,-0.98,-0.02,0.14,-0.66,-0.14,-0.18,-1.59,4.06,10.11,20,75.69,0.82,-0.82,-2.15
Mensfort,-0.74,-0.19,0.01,0.30,0.26,0.67,0.83,0.19,0.66,0.71,1.39,0.50,0.55,0.26,1.13,0.78,35.83,40,25.03,-1.15,0.28,-1.01
Mispelhoef,,,,,,,,,,,,,,,,,0.03,0,48.99,,,
Muschberg Geestenberg,0.12,0.03,0.26,0.61,-0.06,0.34,0.10,0.50,0.12,-0.57,-0.29,-0.33,-0.37,-0.65,-0.38,0.90,25.00,45,37.02,0.08,-0.50,-0.30
Nieuwe Erven,0.35,-0.83,-0.20,0.61,0.89,1.04,0.24,-0.44,0.95,-0.64,0.90,-0.52,0.78,1.10,-0.72,0.79,41.28,61,24.8,-0.90,0.19,0.68
Ooievaarsnest,1.05,0.38,2.05,-0.91,-1.73,-1.20,-0.96,0.01,-1.83,-0.14,-0.96,-0.10,-0.87,-1.19,-0.20,0.31,4.36,0,60.53,0.33,0.65,0.78
Oude Gracht-Oost,1.53,0.84,1.07,-0.61,-1.28,-1.41,-0.98,-0.62,-1.66,-1.89,-0.11,-1.17,-0.44,-0.92,0.58,2.05,9.36,0,60.14,0.66,-0.84,-0.02
Oude Gracht-West,0.19,-0.34,0.34,-0.30,0.26,0.30,0.54,1.46,0.24,0.93,0.01,-0.35,-0.23,0.80,-0.24,-0.35,29.90,41,47.53,0.00,-0.17,-0.38
Oude Spoorbaan,-0.52,-1.26,-0.66,-0.91,0.77,-0.41,0.08,-0.63,0.41,-0.19,2.03,-0.31,2.59,-0.18,0.69,-0.83,49.15,17,17.14,0.16,0.33,0.29
Oude Toren,-0.04,-1.20,1.89,-0.61,0.83,1.33,1.07,1.45,0.60,0.93,1.47,-0.41,1.17,-0.70,0.70,-0.19,40.00,46,40.95,-1.97,0.84,-0.50
Park Forum,,,,,,,,,,,,,,,,,0.08,0,86.97,,,
Philipsdorp,0.43,-1.17,-0.59,-0.30,0.58,-0.46,0.32,-0.26,0.25,0.26,2.23,-0.35,2.00,0.00,2.85,-0.54,45.48,39,17.24,-1.48,1.57,-0.12
Poeijers,,,,,,,,,,,,,,,,,0.00,0,53.17,,,
Prinsejagt,0.56,-0.24,0.82,-0.30,0.13,0.45,0.26,0.57,-0.03,-0.01,-0.39,-0.65,-0.32,-0.30,-0.30,-0.72,25.50,47,48.1,-0.49,-0.35,-0.01
Puttense Dreef,1.06,0.95,-0.30,-0.30,-1.15,-1.27,-1.15,-0.70,-1.20,-1.32,-0.85,-1.14,-0.79,-0.46,-0.44,-0.38,13.69,0,41.37,1.07,-1.06,-0.52
Rapelenburg,-0.20,-0.24,-0.60,0.00,0.45,-0.77,0.31,-0.53,0.11,0.55,0.15,0.79,0.60,-0.10,-0.88,-0.62,29.38,10,33.61,-0.99,0.11,-0.06
Rapenland,-1.51,-0.28,-0.57,0.00,0.45,0.31,0.84,-0.23,0.91,0.71,2.02,0.50,1.08,1.99,1.10,-0.58,22.81,45,29.24,-1.15,0.47,-1.01
Riel,,,,,,,,,,,,,,,,,0.37,0,81,,,
Rochusbuurt,-0.25,-1.14,-1.09,-0.91,1.41,-0.38,-0.07,-1.11,0.60,0.34,-0.11,-0.20,0.03,-0.78,0.36,-1.12,69.16,21,11.55,0.41,0.57,-0.06
Roosten,2.19,2.20,0.36,-0.61,-2.56,-1.46,-1.73,-1.16,-2.08,-2.24,-0.40,-1.71,-0.44,-0.18,-0.24,1.01,2.85,0,77.06,0.58,-0.24,-0.01
Schoot,-0.82,-1.36,-0.69,-1.22,0.96,-0.44,0.47,-0.73,0.43,0.01,0.04,-0.96,0.27,-0.28,-0.14,-0.67,56.18,31,17.35,-1.23,0.80,2.68
Schouwbroek,0.69,-0.46,-0.17,0.00,0.26,-0.16,0.36,0.09,-0.02,0.26,-0.19,-0.35,0.67,-0.54,-0.79,-0.49,36.89,29,9.18,-1.48,0.98,-0.12
Schrijversbuurt,1.30,-0.05,0.24,-0.61,0.32,-0.06,-0.16,-0.34,-0.38,-0.19,1.43,-0.31,1.45,0.69,0.53,-0.50,27.18,22,38.89,0.16,0.15,0.29
Schuttersbosch,1.80,0.53,1.54,-0.91,-1.02,-0.40,-1.16,0.15,-1.57,-1.32,0.20,-1.14,-0.79,0.12,1.97,0.21,8.35,46,28.05,1.07,-1.53,-0.52
Sintenbuurt,1.19,0.86,-0.44,0.30,-0.26,-0.36,0.35,0.19,-0.35,0.25,-0.02,0.00,-0.55,-0.12,0.72,0.21,36.34,28,15.18,0.66,-0.35,0.01
Sportpark Aalsterweg,,,,,,,,,,,,,,,,,0.14,0,47.91,,,
Strijp S,0.58,-2.36,-1.80,-1.83,1.15,-1.13,0.99,-1.66,0.31,-0.10,2.87,-0.17,3.87,-0.35,-0.55,0.31,76.60,47,28.89,-1.81,1.76,-0.22
't Hofke,-0.27,-0.14,0.45,0.00,0.32,0.96,0.17,0.52,0.11,-0.57,0.14,-0.33,-0.19,-0.64,0.54,-0.11,13.03,58,69.05,0.08,-0.58,-0.30
't Hool,-1.18,1.12,-0.04,2.13,-0.45,1.23,1.35,0.25,0.79,0.99,0.21,1.33,0.05,0.00,-0.48,0.13,30.53,65,43.66,-0.25,0.12,0.57
Tempel,0.01,0.55,0.84,0.61,-0.70,0.41,0.21,1.06,-0.25,0.43,-0.09,0.52,-0.46,-0.07,-0.13,0.73,19.69,53,45.28,0.25,-0.47,-0.79
Tivoli,0.23,0.55,0.15,2.13,0.06,2.62,0.77,0.81,1.13,0.25,0.03,0.00,-0.49,0.59,-0.29,1.18,45.26,92,12.41,0.66,-0.84,0.01
Tongelresche Akkers,0.63,2.31,-1.12,-0.61,-1.66,-1.15,-0.23,-1.00,-0.82,-0.66,-0.12,-0.17,-0.13,-1.08,-0.29,1.02,16.26,23,40.84,-1.23,-0.86,0.07
Tuindorp,1.33,-0.45,0.94,-0.61,0.38,-0.79,-0.12,-0.14,-0.37,-0.64,-0.27,-0.52,-0.19,-0.75,-0.23,-0.12,31.84,30,13.22,-0.90,0.06,0.68
TU-terrein,,,,,,,,,,,,,,,,,5.37,34,49.32,,,
Urkhoven,,,,,,,,,,,,,,,,,0.22,18,94.91,,,
Vaartbroek,-0.53,0.72,0.05,1.83,-0.38,0.88,0.98,0.70,0.50,1.32,-0.21,0.79,-0.50,0.05,-0.47,-0.17,24.69,55,53.72,0.00,-0.57,-0.68
Villapark,1.12,-0.03,-0.10,-1.22,-0.06,-0.79,-0.81,-0.68,-1.01,-0.95,2.17,-0.29,1.16,-0.12,5.06,-0.74,21.01,20,16.82,-0.49,0.59,-0.63
Vlokhoven,-1.00,0.31,0.62,0.91,0.06,1.01,1.12,0.72,0.57,0.87,-0.53,0.57,-0.32,-0.36,-0.87,-0.41,31.35,57,37.05,-1.97,0.11,-0.06
Vredeoord,,,,,,,,,,,,,,,,,0.40,22,26.52,,,
Waterrijk,-0.06,2.67,-1.71,-0.30,-1.79,-1.55,-0.34,-1.73,-1.12,-0.02,-0.82,-0.66,-0.73,-0.55,-0.95,0.50,15.02,8,61.74,0.82,-0.81,-2.15
Wielewaal,,,,,,,,,,,,,,,,,0.18,0,97.34,,,
Winkelcentrum,-0.60,-2.56,0.35,,1.28,-0.69,1.29,-0.04,0.26,0.99,12.08,1.33,11.94,2.63,2.91,8.83,26.77,0,9.93,-0.25,0.71,0.57
Witte Dame,-2.08,-1.77,-0.90,-1.83,0.70,-1.11,0.49,-1.66,0.29,0.42,7.67,1.12,6.90,2.92,11.69,0.72,89.51,15,14.21,-1.81,2.33,0.12
Woenselse Heide,-0.18,0.81,0.32,1.83,-1.09,0.36,0.58,0.85,0.11,0.51,-0.30,0.05,-0.57,-0.24,0.33,-0.22,27.05,50,28.24,0.49,-0.28,-1.25
Woenselse Watermolen,-1.84,-0.33,-0.74,-1.52,-0.38,-1.16,0.77,-0.02,0.38,0.93,0.89,-0.41,1.25,0.39,0.00,0.24,35.25,8,30.45,-1.97,1.33,-0.50
Woensel-West,-0.71,0.31,-1.34,1.22,0.64,0.31,1.67,-0.79,1.05,-0.09,0.15,0.53,0.06,0.08,-0.11,-0.52,36.49,57,25.66,-0.49,0.41,0.29
Zandrijk,-0.18,1.00,0.05,-0.30,-1.60,-0.84,-0.65,-0.38,-1.06,-0.40,-0.75,-1.14,-0.84,-0.67,0.19,-0.68,29.82,19,28.51,0.08,-0.50,0.00
Zwaanstraat,0.78,2.60,-1.51,-0.91,-2.17,-1.93,-0.65,-2.13,-1.53,-1.57,-0.56,-1.14,-0.38,-0.87,-0.17,-0.66,9.37,2,43.95,1.23,0.24,0.29
